"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,case_report_form,,text,"Patient ID",,,,,,,,,,,,,
patient_visit_number,case_report_form,,text,"Patient visit number",,"Written as R0X",,,,,,,,,,,
date_of_visit,case_report_form,,text,"Date of visit",,,date_ymd,,,,,,,,,,
dob,case_report_form,"Demographics Information",text,"Year of Birth",,"Enter year only",number,1900,2500,,,,,,,,
age,case_report_form,,text,Age,,,,,,,,,,,,,
sex,case_report_form,,dropdown,Gender,"0, Female | 1, Male | 2, Transgender",,,,,,,,,,,,
transgender_designation,case_report_form,,dropdown,"Transgender designation","0, male to female | 1, female to male",,,,,,"[sex] = '2'",,,,,,
ethnicity,case_report_form,,dropdown,Ethnicity,"0, Hispanic or Latino | 1, Not Hispanic or Latino",,,,,,,,,,,,
race,case_report_form,,checkbox,Race,"0, Asian | 1, American Indian/Alaska Native | 2, Black or African American | 3, Native Hawaiian or other Pacific Islander | 4, White | 5, More than one race | 6, Unknown",,,,,,,,,,,,
height,case_report_form,,text,Height,,"Must be entered as feet followed by inches (do not enter inch fractions)",,,,,,,,,,,
weight,case_report_form,,text,Weight,,"Enter only in lbs",,,,,,,,,,,
abdominal_girth,case_report_form,,text,"Abdominal girth",,,,,,,,,,,,,
blood_pressure,case_report_form,,text,"Blood Pressure",,,,,,,,,,,,,
highest_education_level_co,case_report_form,,radio,"Highest education level completed","0, elementary school | 1, middle school | 2, high school/GED | 3, technical school | 4, some college | 5, 2 year college degree | 6, 4 year college degree | 7, Masters degree | 8, Doctoral degree | 9, Professional degree",,,,,,,,,,,,
snellen_score_right_eye,case_report_form,"Vision Field Assessment",text,"Snellen score: RIGHT EYE",,"Use this designation xx/xx",,,,,,,,,,,
snellen_score_left_eye,case_report_form,,text,"Snellen score: LEFT EYE",,"Use this designation xx/xx",,,,,,,,,,,
eye_movement_assessment_wa,case_report_form,,radio,"Eye Movement Assessment:
Was eye movement normal?","0, Yes | 1, No",,,,,,,,,,,,
visual_field_assessment,case_report_form,,descriptive,"Visual Field Assessment",,,,,,,,,,,,,
was_visual_field_assessmen,case_report_form,,radio,"Was visual field assessment valid?","0, Yes | 1, No",,,,,,,,,,,,
right_eye_visual_field_ass,case_report_form,,radio,"RIGHT EYE - Visual field assessment","0, Normal | 1, Abnormal",,,,,,,,,,,,
right_how_many_times,case_report_form,,text,"How many times was this completed?",,,,,,,,,,,,,
left_eye_visual_field_asse,case_report_form,,radio,"LEFT EYE- Visual field assessment","0, Normal | 1, Abnormal",,,,,,,,,,,,
left_how_many_times,case_report_form,,text,"How many times was this completed?",,,,,,,,,,,,,
exposure_category,case_report_form,Exposure,checkbox,"Exposure Category","0, Men who have sex with men (MSM) | 1, Injection drug use (IDU) | 2, Blood transfusion | 3, Heterosexual | 4, Hemophilia | 5, Perinatal | 6, MSM and IDU | 7, Heterosexual and IDU | 8, Other | 9, ND",,,,,,,,,,,,
explanation_of_other_selec,case_report_form,,notes,"Explanation of ""other"" selection for exposure category",,,,,,,"[exposure_category(8)] = '1'",,,,,,
current_tobacco_use,case_report_form,"Tobacco Use  History",dropdown,"Current Tobacco use","0, No | 1, Yes | 2, Never",,,,,,,,,,,,
date_stopped_tobacco_use,case_report_form,,text,"Date stopped tobacco use",,"Enter year only",number,1900,2500,,"[current_tobacco_use] = '0'",,,,,,
type_of_tobacco_used,case_report_form,,checkbox,"Type of tobacco used","0, Cigarettes | 1, Cigars | 2, Pipes | 3, Chewing tobacco",,,,,,,,,,,,
number_of_uses_per_day,case_report_form,,text,"Number of uses per day",,,,,,,,,,,,,
number_of_years_used,case_report_form,,text,"Number of years used",,,,,,,,,,,,,
current_alcohol_use,case_report_form,"Alcohol Use History",dropdown,"Current Alcohol use","0, No | 1, Yes | 2, Never | 3, socially only",,,,,,,,,,,,
date_stopped_alcohol_use,case_report_form,,text,"Date stopped alcohol use",,"Enter year only",number,1900,2500,,"[current_alcohol_use] = '0'",,,,,,
number_of_beers_consumed_p,case_report_form,,dropdown,"Number of beers consumed per week","0, none | 1, 1-3 | 2, 4-7 | 3, >7","Either presently or in the past",,,,,,,,,,,
number_of_glasses_of_wine,case_report_form,,dropdown,"Number of glasses of wine consumed per week","0, none | 1, 1-3 | 2, 4-7 | 3, >7","Either presently or in the past",,,,,,,,,,,
number_of_liquor_based_dri,case_report_form,,dropdown,"Number of liquor based drinks consumed per week","0, none | 1, 1-3 | 2, 4-7 | 3, >7","Either presently or in the past",,,,,,,,,,,
