Age__gte,Age__lte,immediate__mean,immediate__std,Learn,Learn-STD,delay__mean,delay__std,retention__mean,retention__std,recognition__mean,recognition__std
18,21,28.74,4.32,3.63,1.67,10.79,1.37,0.9534,0.066,5.91,0.31
20,23,28.44,4.38,3.64,1.68,10.68,1.41,0.9493,0.0726,5.92,0.26
24,25,27.83,4.48,3.65,1.69,10.46,1.48,0.9508,0.0804,5.89,0.3
26,29,27.52,4.54,3.66,1.7,10.35,1.52,0.9667,0.0631,5.97,0.15
30,33,26.92,4.64,3.67,1.71,10.13,1.6,0.962,0.0474,5.97,0.15
34,37,26.31,4.75,3.68,1.73,9.91,1.67,0.9407,0.0884,5.8,0.56
38,41,25.7,4.86,3.69,1.74,9.69,1.75,0.9163,0.0992,5.86,0.35
42,45,25.09,4.96,3.7,1.76,9.47,1.83,0.9455,0.0642,5.93,0.24
46,49,24.48,5.07,3.71,1.77,9.25,1.9,0.9338,0.0853,5.85,0.35
50,53,23.87,5.18,3.73,1.79,9.03,1.98,0.9596,0.0731,5.83,0.44
54,58,23.27,5.28,3.74,1.8,8.81,2.05,0.94,0.0843,5.71,0.58
59,62,22.66,5.39,3.75,1.82,8.59,2.13,0.937,0.087,5.86,0.44
63,66,22.05,5.5,3.76,1.83,8.37,2.2,0.895,0.116,5.92,0.48
67,70,21.44,5.6,3.77,1.85,8.15,2.28,0.903,0.126,5.55,0.94
71,74,20.83,5.71,3.78,1.86,7.93,2.36,0.878,0.143,5.64,0.91
75,79,20.22,5.82,3.8,1.88,7.71,2.43,0.864,0.147,5.5,0.79
80,80,13.5,5.1,,,6.2,2.8,,,5.6,0.7
80,80,15,6.1,,,6.5,2.9,,,5.6,0.7
