Age__eq,HVLTtotal__mean,HVLTtotal__std,HVLTdelay__mean,HVLTdelay__std,HVLTrecog__mean,HVLTrecog__std
20,28.76,3.92,10.51,1.55,10.88,1.36
21,28.76,3.92,10.51,1.55,10.88,1.36
22,28.76,3.92,10.51,1.55,10.88,1.36
23,28.76,3.92,10.51,1.55,10.88,1.36
24,28.76,3.92,10.51,1.55,10.88,1.36
25,28.76,3.92,10.51,1.55,10.88,1.36
26,28.76,3.92,10.51,1.55,10.88,1.36
27,28.76,3.92,10.51,1.55,10.88,1.36
28,28.71,4.57,10.24,1.94,10.84,1.39
29,28.71,4.57,10.24,1.94,10.84,1.39
30,28.71,4.57,10.24,1.94,10.84,1.39
31,28.71,4.57,10.24,1.94,10.84,1.39
32,28.71,4.57,10.24,1.94,10.84,1.39
33,28.71,4.57,10.24,1.94,10.84,1.39
34,28.04,4.43,9.92,2.04,10.97,1.27
35,28.04,4.43,9.92,2.04,10.97,1.27
36,28.04,4.43,9.92,2.04,10.97,1.27
37,28.04,4.43,9.92,2.04,10.97,1.27
38,28.22,4.05,10.16,2.08,11.15,1.06
39,28.22,4.05,10.16,2.08,11.15,1.06
40,28.22,4.05,10.16,2.08,11.15,1.06
41,28.22,4.05,10.16,2.08,11.15,1.06
42,28.22,4.05,10.16,2.08,11.15,1.06
43,28.22,4.05,10.16,2.08,11.15,1.06
44,28.54,4.23,10.2,2.08,11.07,1.24
45,28.54,4.23,10.2,2.08,11.07,1.24
46,28.54,4.23,10.2,2.08,11.07,1.24
47,28.54,4.23,10.2,2.08,11.07,1.24
48,27.86,3.95,10.06,1.73,10.79,1.61
49,27.86,3.95,10.06,1.73,10.79,1.61
50,27.86,3.95,10.06,1.73,10.79,1.61
51,27.86,3.95,10.06,1.73,10.79,1.61
52,27.86,3.95,10.06,1.73,10.79,1.61
53,27.86,3.95,10.06,1.73,10.79,1.61
54,27.86,3.95,10.06,1.73,10.79,1.61
