age_gte,16,18,20,25,30,35,45,55,65,70,75,80,85
age_lt,18,20,25,30,35,45,55,65,70,75,80,85,91
scaled,max,max,max,max,max,max,max,max,max,max,max,max,max
1,3,3,3,3,3,3,3,3,2,2,2,2,2
2,4,4,4,4,4,4,4,4,3,3,3,3,3
3,5,5,5,5,5,5,5,5,4,4,4,4,4
4,6,6,6,6,6,,,,5,5,5,5,5
5,,7,7,7,,6,6,6,6,6,,,
6,7,,,8,7,7,7,,,,6,6,6
7,8,8,8,,8,8,8,7,7,7,7,7,7
8,9,9,9,9,9,9,,8,8,8,8,8,8
9,10,10,10,10,10,10,9,9,9,9,9,9,
10,,,11,11,11,11,10,10,10,10,10,,9
11,11,11,,,,,11,11,11,,,10,10
12,,12,12,12,12,12,12,12,,11,11,11,
13,12,13,13,13,13,13,13,,12,12,12,,11
14,13,,14,14,14,14,14,13,13,13,,12,12
15,,14,,,,,,14,14,,13,13,13
16,14,15,15,15,15,15,15,,,14,14,,
17,15,,,,,,,15,15,15,15,14,14
18,,16,16,16,16,16,16,,,,,15,15
19,16,,,,,,,16,16,16,16,16,16
